,中,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,4,4,3N,4,5,5D,36
1,Back,400,191,360,450,370,191,400,521,510,3393
2,Regular,371,174,338,403,345,172,344,489,487,3123
3,Front,371,174,320,395,340,168,323,470,487,3048
4,Ladies,330,146,285,333,316,107,309,428,439,2693
5,Hdcp,2,8,5,1,4,7,9,3,6,­
