,桜,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3N,4.0,4D,3N,4D,4.0,5.0,4.0,36
1,Back T.,513.0,192,372.0,420,192,372,362.0,534.0,372.0,3329
2,Reg T.,497.0,178,359.0,404,181,356,348.0,513.0,358.0,3194
3,Hdcp,,,,,,,,,,­
