,南,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,5,5,4,4,3N,4D,4,36
1,Back T.,367,180,485,511,323,406,142,393,425,3232
2,Reg T,354,164,470,487,306,369,131,375,404,3060
3,Hdcp,5,8,2,1,7,4,9,3,6,­
