,東,1,2,3,4,5,6,7,8,9,計
0,Par,5,3,4,4D,5,4,4,3N,4,36
1,Back T.,515,166,387,387,564,324,418,176,325,3262
2,Reg.T,487,144,333,367,510,300,372,153,309,2975
3,Ladies.T,453,116,209,348,459,261,345,107,252,2550
4,Hdcp,5,8,2,4,1,7,3,6,9,­
