,WEST,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,4,5,3,4,3,4,36
1,バック,398,532,428,415,541,238,403,183,424,3562
2,レギュラー,344,496,372,374,482,164,371,149,339,3091
3,レディース,283,368,318,297,373,114,294,100,285,2432
4,Hdcp,8,2,5,4,1,7,6,9,3,­
