,中,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,4,4,4,4D,3,5,36
1,Back T.,485,185,397,427,415,297,424,189,491,3310
2,Reg.T,467,161,361,403,356,271,366,166,469,3020
3,Ladies.T,443,114,283,358,311,243,336,141,416,2645
4,Hdcp,5,8,2,1,4,7,3,6,9,­
