,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,4,3N,4D,4,3,5,4,5,36
1,BLUE,331,382,200,354,373,179,610,433,499,3361
2,White,320,363,176,337,362,164,584,411,478,3195
3,RED,310,345,140,302,338,112,501,367,447,2862
4,Gold,373,399,213,381,389,189,627,457,511,3539
5,Hdcp,10,4,16,14,8,2,6,12,18,­
