,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,4,5D,4,5,3,4,4,36
1,Back T.,443,161,394,554,364,540,194,422,343,3415
2,Reg T,425,147,320,510,341,486,172,397,306,3104
3,Hdcp,2,8,5,7,4,1,6,3,9,­
