,ダービー　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,3.0,4.0,4D,3N,4.0,4.0,5.0,36
1,Back,541.0,423.0,218.0,372.0,375,180,372.0,375.0,500.0,3356
2,Front,518.0,394.0,173.0,340.0,351,142,337.0,350.0,485.0,3090
3,Family,473.0,332.0,132.0,294.0,309,117,289.0,306.0,454.0,2706
4,Hdcp,,,,,,,,,,­
