,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,4,4,3,4D,5,36
1,Back,420,420,151,560,450,350,181,461,580,3573
2,Regular,372,365,135,483,427,336,163,428,504,3213
3,Front,351,337,135,431,409,307,151,391,484,2996
4,Ladies,300,319,113,406,327,228,133,338,402,2566
5,Hdcp,2,5,8,1,4,7,9,6,3,­
