,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,5D,3,4,5,4,3N,4,4,36
1,Back,410,541,200,401,521,440,211,430,400,3554
2,Regular,387,510,188,375,499,399,197,404,377,3336
3,Front,368,480,184,355,481,381,180,384,349,3162
4,Ladies,316,455,147,289,401,336,134,264,295,2637
5,Hdcp,5,2,8,7,1,4,9,3,6,­
