,宇津峰,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0,36
1,Blue,355.0,420.0,198.0,373.0,368.0,571.0,165.0,500.0,355.0,3305
2,White,342.0,393.0,173.0,356.0,351.0,549.0,150.0,479.0,329.0,3122
3,Green,329.0,288.0,161.0,304.0,274.0,510.0,142.0,429.0,306.0,2743
4,Red,329.0,288.0,110.0,304.0,274.0,510.0,75.0,429.0,224.0,2543
5,Hdcp,,,,,,,,,,­
