,EAST,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,36
1,バック,398.0,172.0,407.0,555.0,361.0,404.0,526.0,172.0,393.0,3388
2,レギュラー,377.0,139.0,350.0,519.0,319.0,368.0,443.0,155.0,364.0,3034
3,レディース,310.0,101.0,312.0,447.0,258.0,297.0,413.0,99.0,293.0,2530
4,Hdcp,,,,,,,,,,­
