,磐梯,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,36
1,Blue,371.0,382.0,533.0,182.0,390.0,399.0,182.0,335.0,549.0,3323
2,White,350.0,360.0,511.0,173.0,372.0,381.0,167.0,286.0,525.0,3125
3,Green,317.0,265.0,456.0,162.0,296.0,297.0,153.0,275.0,461.0,2682
4,Red,317.0,265.0,456.0,70.0,296.0,297.0,92.0,275.0,461.0,2529
5,Hdcp,,,,,,,,,,­
