,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5,4,4,5,3,4D,4,36
1,BACK TEE,398,194,517,346,357,588,185,378,386,3349
2,REGU TEE,362,146,498,333,341,564,168,348,365,3125
3,Hdcp,9,15,3,7,13,1,17,5,11,­
