,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3,4,4,4,3N,4,5D,36
1,BACK TEE,574,319,190,401,369,412,159,388,547,3359
2,REGU TEE,557,316,161,321,354,354,143,370,512,3088
3,Hdcp,4,16,10,14,8,2,18,12,6,­
