,ダービー　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5.0,3N,4.0,4.0,4.0,3.0,5D,4.0,4.0,36
1,Back,530.0,180,365.0,358.0,400.0,185.0,515,350.0,400.0,3283
2,Front,507.0,160,335.0,342.0,354.0,168.0,493,332.0,362.0,3053
3,Family,453.0,125,287.0,287.0,329.0,126.0,427,301.0,304.0,2639
4,Hdcp,,,,,,,,,,­
