,椿,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,4.0,4.0,3N,5.0,4D,4.0,3N,5D,36
1,Back T.,382.0,424.0,389.0,154,633.0,391,347.0,189,569,3478
2,Reg T.,365.0,391.0,370.0,141,610.0,371,336.0,173,550,3307
3,Hdcp,,,,,,,,,,­
