,藤,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3N,4D,4.0,4.0,4.0,3N,5D,4.0,36
1,Back T.,605.0,189,404,340.0,392.0,437.0,196,522,342.0,3427
2,Reg T.,589.0,168,388,326.0,376.0,420.0,184,496,331.0,3278
3,Hdcp,,,,,,,,,,­
