,中,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3,4D,4,4,3N,5,36
1,Back T.,485,344,367,188,330,382,358,167,489,3110
2,Reg.,449,320,353,116,301,326,343,118,437,2763
3,Ladies,408,273,319,90,266,267,326,91,367,2407
4,Hdcp,2,8,5,7,4,1,6,9,3,­
