,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Ashley Wood Golf Club (1000619) - The Ashley Wood,White,M,70,71.1,95.8,133,34.8  /  130,36.3  /  136
,Yellow,M,70,69.3,92.7,126,34.2  /  124,35.1  /  128
,Blue Winter,M,70,68.6,92.1,127,33.3  /  124,35.3  /  129
,Old 9 White,M,35,35.0,46.8,127,35.0  /  127,/
,Old 9 Yellow,M,35,34.3,45.7,123,34.3  /  123,/
,Old 9 Blue Winter,M,35,33.8,45.3,124,33.8  /  124,/
,Red Summer,F,71,73.2,104.1,131,35.9  /  132,37.3  /  130
,Red Winter,F,71,72.4,102.3,127,35.4  /  127,37.0  /  126
,Old 9 Red Summer,F,36,36.5,51.9,131,36.5  /  131,/
,Old 9 Red Winter,F,36,35.9,50.6,125,35.9  /  125,/
Bridport and West Dorset Golf Club (1002547) - Bridport and West Dorset,Purple,M,71,70.0,91.5,116,35.2  /  115,34.8  /  116
,Orange,M,71,68.9,89.8,113,34.7  /  110,34.2  /  115
,Light Blue,M,70,67.2,87.0,107,33.7  /  110,33.5  /  103
,Green,M,70,67.0,86.9,107,33.4  /  110,33.6  /  104
,Orange,F,73,74.8,104.2,125,37.6  /  124,37.2  /  126
,Light Blue,F,72,72.5,100.9,121,36.5  /  121,36.0  /  120
,Green,F,72,72.3,100.0,118,36.3  /  119,36.0  /  116
Broadstone Golf Club (1002620) - Broadstone,Blue,M,70,71.6,97.6,140,35.9  /  135,35.7  /  145
,White,M,70,71.5,97.3,139,35.8  /  136,35.7  /  142
,Yellow,M,70,69.9,94.0,130,35.1  /  127,34.8  /  132
,Red,M,68,67.0,89.0,119,33.7  /  114,33.3  /  123
,Purple,M,65,64.2,83.5,104,32.6  /  101,31.6  /  107
,Yellow,F,73,76.2,109.8,142,38.3  /  142,37.9  /  142
,Red,F,72,72.2,103.2,132,36.1  /  128,36.1  /  135
,Purple,F,71,68.0,96.1,120,34.5  /  119,33.5  /  120
Bulbury Woods Golf Club (1002886) - Bulbury Woods,White,M,71,70.0,94.9,134,35.4  /  137,34.6  /  131
,Yellow,M,71,69.3,93.8,132,35.0  /  131,34.3  /  132
,Red 2018,F,71,73.3,104.9,134,36.7  /  134,36.6  /  134
Came Down Golf Club (1003250) - Came Down,White,M,70,71.2,93.0,117,36.3  /  119,34.9  /  115
,White (Seniors),M,69,70.7,92.1,115,35.8  /  115,34.9  /  115
,Yellow,M,69,69.1,90.7,116,34.8  /  117,34.3  /  115
,Blue,M,69,66.0,86.8,112,33.4  /  114,32.6  /  110
,Red,F,72,72.6,102.5,127,36.5  /  127,36.1  /  126
,Blue,F,73,71.5,100.3,123,36.3  /  125,35.2  /  120
Canford School Sports Centre (1003284) - Canford School Sports Centre,White,M,68,68.6,92.5,129,34.3  /  130,34.3  /  127
,Winter,M,67,67.2,90.6,126,33.9  /  126,33.3  /  126
,Red 2015,F,71,71.8,102.1,129,36.1  /  128,35.7  /  129
Charminster Golf Club (1003590) - Wolfedale Golf Course,White,M,69,65.9,85.0,103,32.8  /  99,33.1  /  107
,Red,M,64,62.7,79.9,93,31.3  /  94,31.4  /  91
,White,F,71,71.2,97.8,113,35.5  /  111,35.7  /  114
,Red,F,69,66.9,92.5,109,33.4  /  104,33.5  /  113
COBHAM SPORTS AND SOCIAL CLUB (1021688),White,M,54,58.0,74.8,90,29.0  /  90,29.0  /  90
,White,F,60,59.0,80.6,92,29.5  /  92,29.5  /  92
Crane Valley Golf Club (1004632) - Valley,White,M,72,71.1,94.0,124,35.7  /  124,35.4  /  123
,Yellow,M,72,69.7,91.8,119,34.9  /  121,34.8  /  117
,Red 2019,F,72,72.3,101.0,122,36.3  /  120,36.0  /  123
Crane Valley Golf Club (1004632) - Woodland,White,M,62,59.0,77.6,100,29.5  /  100,29.5  /  100
,White,F,62,60.4,83.4,98,30.2  /  98,30.2  /  98
Dorset Golf Resort (1005256) - Lakeland & Parkland,Blue,M,72,74.0,99.3,136,37.0  /  132,37.0  /  140
,White,M,72,71.9,96.6,133,36.0  /  130,35.9  /  136
,Yellow,M,72,70.1,93.2,125,35.4  /  125,34.7  /  124
,Red - 2018,F,72,71.8,102.1,129,36.0  /  124,35.8  /  133
Dorset Golf Resort (1005256) - Lakeland & Woodland,White,M,69,68.7,91.5,123,36.0  /  130,32.7  /  115
,Yellow,M,69,67.6,90.0,121,35.4  /  125,32.2  /  116
,Red - 2018,F,69,69.1,98.4,125,36.0  /  124,33.1  /  125
Dorset Golf Resort (1005256) - Lakeland Course,Blue,M,72,74.0,98.6,132,37.0  /  132,37.0  /  132
,White,M,72,72.0,96.2,130,36.0  /  130,36.0  /  130
,Yellow,M,72,70.8,94.0,125,35.4  /  125,35.4  /  125
,Red,F,72,72.0,101.2,124,36.0  /  124,36.0  /  124
Dorset Golf Resort (1005256) - Parkland & Woodland,White,M,69,68.6,91.9,126,35.9  /  136,32.7  /  115
,Yellow,M,69,66.9,89.2,120,34.7  /  124,32.2  /  116
,Red - 2018,F,69,68.9,99.3,129,35.8  /  133,33.1  /  125
Dorset Golf Resort (1005256) - Parkland Course,Blue,M,72,74.0,100.0,140,37.0  /  140,37.0  /  140
,White,M,72,71.8,97.0,136,35.9  /  136,35.9  /  136
,Yellow,M,72,69.4,92.4,124,34.7  /  124,34.7  /  124
,Red,F,72,71.6,103.0,133,35.8  /  133,35.8  /  133
Dorset Golf Resort (1005256) - Woodland Course,White,M,66,65.4,86.8,115,32.7  /  115,32.7  /  115
,Yellow,M,66,64.4,86.0,116,32.2  /  116,32.2  /  116
,Red,F,66,66.2,95.6,125,33.1  /  125,33.1  /  125
Dudsbury Golf Club (1005406) - Dudsbury,Blue,M,72,74.2,99.6,137,36.2  /  141,38.0  /  132
,White,M,71,72.7,97.6,134,35.6  /  139,37.1  /  129
,Yellow,M,71,70.5,94.1,127,34.6  /  127,35.9  /  127
,Red 2019,F,73,75.3,106.6,133,37.1  /  136,38.2  /  130
Ferndown Forest Golf Club (1006261) - Ferndown Forest,White,M,69,65.6,87.6,119,31.4  /  113,34.2  /  124
,Yellow,M,69,64.6,85.4,112,31.3  /  107,33.3  /  117
,Red -2018,F,66,66.1,93.3,116,31.7  /  108,34.4  /  123
Ferndown Golf Club (1006274) - Old Course,White,M,71,72.0,96.0,130,35.7  /  122,36.3  /  137
