,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
Abridge Golf and Country Club (1000058) - Abridge,White,M,72,72.4,96.7,131,35.7  /  130,36.7  /  131
,Blue,M,71,71.7,95.1,126,35.5  /  126,36.2  /  126
,Yellow,M,68,70.2,92.9,123,34.9  /  122,35.3  /  123
,Red 2019,F,73,73.1,102.6,126,36.6  /  125,36.5  /  126
Ballards Gore Golf Club (1000879) - Ballards Gore,White,M,73,72.2,96.2,129,36.3  /  132,35.9  /  126
,White Short,M,72,71.3,95.2,129,35.4  /  131,35.9  /  126
,Yellow,M,73,70.6,94.0,126,35.5  /  131,35.1  /  121
,Yellow Short,M,72,69.8,92.9,125,34.7  /  128,35.1  /  121
,Black,M,73,69.7,92.2,121,34.9  /  123,34.8  /  119
,Black Short,M,72,69.0,91.3,120,34.2  /  121,34.8  /  119
,Blue,M,73,67.6,89.2,116,34.7  /  118,32.9  /  114
,Blue Short,M,72,66.8,88.3,116,33.9  /  117,32.9  /  114
,Red,F,74,72.8,101.2,121,36.4  /  123,36.4  /  118
,Red Short,F,73,71.5,99.5,119,35.1  /  120,36.4  /  118
Basildon Golf Club (1001028) - Basildon,White,M,72,70.9,95.5,133,34.8  /  129,36.1  /  136
,Yellow,M,72,69.7,93.2,127,34.2  /  126,35.5  /  127
,Red - Men,M,69,67.3,89.3,119,32.6  /  115,34.7  /  122
,Red - 2018,F,71,72.4,103.2,131,35.2  /  125,37.2  /  137
Belfairs Park Golf Course (1001322) - Belfairs Golf Club (1001322),White,M,70,67.1,87.4,110,34.0  /  112,33.1  /  107
,Red 2015,F,71,71.2,99.2,119,36.1  /  120,35.1  /  118
Bentley Golf Club (1001419) - Bentley,White,M,72,72.7,97.3,133,36.8  /  137,35.9  /  128
,Yellow,M,72,71.4,95.3,129,36.3  /  132,35.1  /  125
,Yellow Alternate,M,71,69.2,91.9,122,35.2  /  130,34.0  /  114
,Red - 2019,F,73,73.9,104.9,132,38.1  /  138,35.8  /  125
Benton Hall Golf and Country Club (1001426) - Benton Hall Golf and Country Club,White,M,71,71.8,97.2,137,35.1  /  135,36.7  /  139
,Blue,M,71,70.4,96.1,139,34.4  /  140,36.0  /  137
,Yellow,M,71,69.2,94.3,136,33.7  /  136,35.5  /  135
,Red - Men,M,70,67.7,91.3,127,33.1  /  127,34.6  /  127
,Yellow - Women,F,72,75.3,107.5,137,36.8  /  131,38.5  /  142
,Red - 2018,F,72,73.3,105.2,136,35.9  /  130,37.4  /  141
Birch Grove Golf Club (1001572) - Birch Grove,White,M,66,62.6,82.0,104,31.3  /  104,31.3  /  104
,Yellow,M,66,62.4,81.8,104,31.2  /  104,31.2  /  104
,Red,F,66,65.2,90.6,108,32.6  /  108,32.6  /  108
Blakes Golf Club (1001777) - Blakes,Black,M,71,71.2,93.6,121,35.1  /  118,36.1  /  123
,White,M,71,70.3,92.3,119,34.6  /  116,35.7  /  121
,Yellow,M,71,69.1,90.4,115,34.1  /  112,35.0  /  117
,Red,F,72,72.9,101.6,122,35.7  /  117,37.2  /  126
Boyce Hill Golf and Country Club (1002095) - Boyce Hill,White,M,68,70.2,94.3,130,35.7  /  129,34.5  /  130
,Yellow,M,68,69.1,92.6,127,35.3  /  127,33.8  /  126
,Black,M,65,62.5,82.5,108,31.3  /  104,31.2  /  111
,Red 2017,F,71,72.1,101.4,124,36.8  /  126,35.3  /  122
,Black Women,F,68,66.8,92.9,111,33.0  /  113,33.8  /  109
Braintree Golf Club (1002216) - Braintree,White,M,70,70.2,93.8,127,34.4  /  127,35.8  /  127
,Yellow,M,70,68.7,92.1,126,33.5  /  124,35.2  /  128
,Red,F,73,73.1,102.4,125,35.4  /  119,37.7  /  130
Braxted Park Golf Club (1002387) - Braxted Park,White,M,66,65.0,86.1,114,33.1  /  118,31.9  /  109
,White Winter,M,66,64.8,84.2,104,32.4  /  104,32.4  /  104
,Red,F,70,69.8,98.8,123,35.7  /  126,34.1  /  120
,Red Winter,F,70,68.8,96.4,117,34.4  /  116,34.4  /  118
Brentwood Golf Club (1018249) - Brentwood Golf Club,White,M,72,72.4,98.1,139,36.1  /  137,36.3  /  140
,Yellow,M,72,69.4,93.5,130,34.3  /  125,35.1  /  135
,Red,F,74,72.4,101.0,122,35.9  /  120,36.5  /  123
Bunsay Downs Golf Club (1002919) - Bunsay,White,M,70,68.2,90.6,121,34.1  /  121,34.1  /  121
,Red 2017,F,70,71.2,99.2,119,35.6  /  119,35.6  /  119
Burnham on Crouch Golf Club Ltd (1003002) - Burnham on Crouch Golf Club,White,M,70,69.8,93.8,129,33.4  /  130,36.4  /  128
,Yellow,M,70,68.0,91.3,126,32.7  /  125,35.3  /  126
,Red,F,72,71.7,100.9,124,34.7  /  123,37.0  /  125
Canons Brook Golf Club (1003311) - Canons Brook,White,M,73,73.3,98.1,134,36.6  /  129,36.7  /  138
,Yellow,M,73,71.8,96.8,135,35.9  /  129,35.9  /  140
,Red,F,73,73.3,103.1,127,37.2  /  124,36.1  /  129
Castle Point Golf Course (1003463) - Castle Point Golf Course,White,M,71,69.4,91.7,120,34.0  /  118,35.4  /  122
,Red,F,72,72.3,101.6,124,36.1  /  121,36.2  /  127
Chelmsford Golf Club (1003693) - Chelmsford,White,M,68,69.3,92.0,122,34.6  /  126,34.7  /  118
