,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
,Alternate,M,69,66.8,88.5,117,34.3  /  118,32.5  /  115
,Red,M,67,65.0,87.5,121,32.9  /  127,32.1  /  115
,Yellow,F,70,73.0,103.6,130,37.6  /  134,35.4  /  126
,Alternate,F,70,71.5,100.1,122,36.7  /  126,34.8  /  117
,Red,F,70,70.4,98.4,119,36.1  /  120,34.3  /  117
Exeter Golf and Country Club (1006067) - Exeter Golf and Country Club,White Plus,M,69,70.3,92.3,119,36.6  /  128,33.7  /  109
,White,M,69,69.2,90.9,117,35.7  /  125,33.5  /  109
,Yellow,M,69,67.4,89.2,118,34.8  /  126,32.6  /  109
,Red,M,69,67.0,88.6,117,34.6  /  126,32.4  /  107
,Yellow,F,72,72.7,103.3,130,37.9  /  134,34.8  /  126
,Red,F,72,72.1,101.9,127,37.6  /  129,34.5  /  124
Exminster Golf Centre (1006079) - Exminster Golf Centre,White,M,66,66.2,89.2,124,33.0  /  124,33.2  /  124
,Yellow,M,65,65.6,88.2,122,32.8  /  122,32.8  /  122
,Red,F,66,67.3,94.7,116,33.8  /  117,33.5  /  115
Fingle Glen Golf Course (1006344) - Fingle Glen Golf Course,White,M,70,68.1,90.6,121,33.1  /  119,35.0  /  123
,Yellow,M,70,66.5,87.8,115,32.3  /  112,34.2  /  117
,Blue,M,70,64.5,85.7,114,31.4  /  113,33.1  /  115
,Red,F,72,71.5,102.3,131,34.7  /  127,36.8  /  134
,Blue,F,72,70.3,101.0,131,34.1  /  126,36.2  /  135
Great Torrington Golf Club (1007212) - Great Torrington,White,M,64,62.8,83.5,112,31.3  /  110,31.5  /  113
,Blue,M,64,62.1,80.7,100,31.1  /  99,31.0  /  101
,Yellow,M,64,61.9,81.7,107,30.7  /  104,31.2  /  109
,Orange,F,64,63.3,90.6,116,31.6  /  115,31.7  /  116
,Red,F,64,63.0,89.5,113,31.2  /  112,31.8  /  113
Highbullen Hotel Golf and Country Club (1008393) - Highbullen,White,M,68,67.9,91.1,125,35.5  /  126,32.4  /  124
,Yellow,M,68,66.9,89.2,120,34.9  /  122,32.0  /  118
,Red,M,67,64.9,86.3,115,33.9  /  119,31.0  /  111
,Yellow,F,70,72.2,102.9,130,37.8  /  134,34.4  /  126
,Red,F,70,69.3,98.4,124,36.8  /  129,32.5  /  118
Holsworthy Golf Club (1008630) - Holsworthy,White,M,70,70.3,93.9,127,35.1  /  129,35.2  /  125
,Yellow,M,70,69.4,92.8,126,34.5  /  127,34.9  /  125
,Winter Mats,M,70,68.2,91.2,124,34.2  /  127,34.0  /  121
,Red,F,72,72.0,101.7,126,36.0  /  127,36.0  /  125
Honiton Golf Club (1008669) - Honiton,White,M,69,69.7,92.1,121,33.8  /  122,35.9  /  119
,Yellow,M,69,68.4,90.6,119,33.2  /  119,35.2  /  119
,Red,M,69,67.0,89.0,118,32.7  /  118,34.3  /  118
,Yellow,F,73,73.9,104.2,129,35.9  /  127,38.0  /  130
,Red,F,73,72.6,102.0,125,35.4  /  125,37.2  /  125
Ilfracombe Golf Club (1009088) - Ilfracombe,White,M,69,68.6,91.1,121,34.2  /  118,34.4  /  124
,Yellow,M,69,67.9,89.7,118,33.9  /  111,34.0  /  124
,Hele Bay 9,M,33,32.1,42.2,109,32.1  /  109,/
,Red 2019,F,71,71.2,98.4,116,35.3  /  114,35.9  /  117
,Hele Bay 9,F,34,32.8,45.1,104,32.8  /  104,/
Libbaton Golf Club (1010147) - Libbaton,White,M,72,71.5,95.9,131,35.2  /  132,36.3  /  130
,Yellow,M,72,70.3,93.8,127,34.4  /  129,35.9  /  124
,Red 2017,F,73,72.0,103.7,135,34.7  /  130,37.3  /  139
McCaulays's Health Club [Ivybridge] (1005153) - IVYBRIDGE GOLF CLUB,White,M,62,61.8,83.2,115,30.9  /  115,30.9  /  115
,White,F,62,65.4,90.4,106,32.7  /  106,32.7  /  106
Mortehoe and Woolacombe Golf Club (1011568) - Mortehoe and Woolacombe Golf Club,White,M,66,63.5,85.5,119,31.6  /  121,31.9  /  116
,Yellow,M,66,63.0,84.8,117,31.5  /  117,31.5  /  117
,Yellow,F,66,67.0,96.4,125,33.5  /  125,33.5  /  125
,Red,F,66,65.2,91.6,112,32.7  /  112,32.5  /  112
Okehampton Golf Club (1012276) - Okehampton,White,M,68,67.3,90.9,127,33.8  /  127,33.5  /  127
,Yellow,M,68,66.3,89.2,124,33.3  /  123,33.0  /  124
,Red2015,F,68,69.3,97.9,122,35.0  /  124,34.3  /  119
Portmore Golf Park (1013067) - Barum,Blue,M,71,71.4,96.7,136,35.5  /  139,35.9  /  133
,White,M,71,70.4,94.9,132,35.1  /  137,35.3  /  127
