,Tee Name,Gender,Par,Course Rating (18),Bogey Rating (18),Slope Rating (18),Front (9),Back (9)
,Red 2017,F,74,74.0,105.6,134,37.2  /  136,36.8  /  132
Sedbergh Golf Club (1014977) - Sedbergh,Red,F,71,69.6,99.2,126,35.3  /  130,34.3  /  122
Silecroft Golf Club (1015349) - Silecroft,Red,F,74,71.8,99.6,118,36.4  /  120,35.4  /  116
Silloth on Solway Golf Club (1015365) - Silloth on Solway,Blue,M,72,72.6,97.8,136,35.3  /  129,37.3  /  142
,White,M,72,71.8,96.5,133,34.9  /  129,36.9  /  137
,Yellow,M,72,70.4,94.6,131,34.1  /  126,36.3  /  135
,Green,M,68,66.7,87.5,112,32.5  /  108,34.2  /  116
,Red,F,75,74.8,105.9,132,36.1  /  127,38.7  /  137
,Green - Women,F,73,71.5,100.6,124,34.7  /  119,36.8  /  128
St Bees Golf Club (1015897) - St Bees School,Red,F,68,68.8,96.5,118,34.6  /  119,34.2  /  116
Stony Holme Golf Course (1016376) - Stony Holme,Red,F,70,70.2,98.3,119,34.1  /  109,36.1  /  129
The Dunnerholme Golf Club (1005452) - Dunnerholme,White,M,72,70.2,92.3,119,34.6  /  114,35.6  /  124
,Yellow,M,72,68.9,90.5,117,33.8  /  112,35.1  /  121
,Red,F,72,70.9,99.7,122,35.0  /  122,35.9  /  122
Ulverston Golf Club (1017761) - Ulverston,White,M,71,71.1,95.8,133,35.0  /  129,36.1  /  137
,Yellow,M,71,69.7,93.6,129,34.2  /  126,35.5  /  131
,Red 2017,F,73,73.7,104.9,132,36.5  /  131,37.2  /  133
Whitehaven Golf Club (1018946) - Whitehaven,White,M,71,70.7,93.8,125,34.2  /  124,36.5  /  125
,Yellow,M,71,69.1,91.5,121,33.3  /  121,35.8  /  121
,Red 2019,F,74,72.1,101.3,124,34.6  /  117,37.5  /  131
Windermere Golf Club (1019241) - Windermere,White,M,67,66.1,88.0,118,33.4  /  111,32.7  /  125
,Yellow,M,66,65.0,86.3,115,32.8  /  109,32.2  /  121
,Red - 2018,F,70,67.6,96.0,121,34.8  /  126,32.8  /  115
Workington Golf Club Ltd (1019667) - Workington,White,M,72,71.0,95.9,134,35.6  /  135,35.4  /  133
,Yellow,M,72,69.7,94.6,134,34.9  /  135,34.8  /  133
,Blue,M,67,62.9,83.2,110,31.6  /  107,31.3  /  112
,Red,F,72,72.3,104.0,135,36.4  /  131,35.9  /  138
,Blue,F,70,65.8,94.8,123,32.9  /  117,32.9  /  129
