,白樺,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3,4,4D,4,5,4,3N,36
1,BLACK,558,424,156,410,454,374,546,430,189,3541
2,BLUE,531,399,146,383,398,357,509,410,162,3295
3,RED,445,341,129,340,347,277,410,334,112,2735
4,WHITE,509,356,136,368,360,325,488,350,139,3031
5,Hdcp,2,5,8,7,1,4,3,6,9,­
