,東,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3.0,5.0,4.0,4.0,3N,4.0,4.0,4D,36
1,Back T.,557.0,190.0,522.0,295.0,350.0,142,390.0,320.0,431,3197
2,Reg T.,538.0,163.0,476.0,278.0,338.0,137,382.0,307.0,420,3039
3,Front T.,522.0,153.0,466.0,268.0,328.0,120,360.0,294.0,407,2918
4,Hdcp,,,,,,,,,,­
