,桜,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,4,4,5D,3,4,36
1,BLACK,392,372,218,552,406,486,562,221,410,3619
2,BLUE,360,348,184,536,368,393,533,180,372,3274
3,RED,293,303,130,408,302,336,407,142,329,2650
4,WHITE,344,327,150,509,331,352,488,151,345,2997
5,Hdcp,8,5,2,7,1,4,3,6,9,­
