,北　IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,3N,4,4,4D,4,3,4,5,36
1,Back,505,163,409,357,393,388,169,359,527,3270
2,Reg.,477,136,383,327,365,365,159,336,497,3045
3,Front,447,111,346,294,332,330,138,306,457,2761
4,Prince,281,105,314,399,306,276,295,101,396,2473
5,Hdcp,4,16,10,14,2,8,18,12,6,­
