,南,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,4.0,3.0,5.0,4.0,3N,4.0,4D,36
1,Back T.,560.0,417.0,378.0,188.0,616.0,402.0,183,376.0,391,3511
2,Reg T.,546.0,336.0,354.0,160.0,580.0,326.0,173,369.0,375,3219
3,Front T.,536.0,324.0,341.0,124.0,556.0,314.0,157,352.0,347,3051
4,Hdcp,,,,,,,,,,­
