,南　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3,4,4,4D,5,3N,4,5,36
1,Back,445,220,398,400,426,515,199,430,504,3537
2,Reg.,418,183,365,361,391,477,181,399,451,3226
3,Front,386,146,332,321,357,434,143,368,397,2884
4,Prince,293,100,277,287,316,385,106,327,344,2435
5,Hdcp,9,15,3,1,13,7,17,5,11,­
