,北　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,3N,5,4,4,5,4,3,4D,36
1,Back,387,200,569,430,382,559,374,208,403,3512
2,Reg.,372,174,536,408,347,525,347,185,380,3274
3,Front,352,144,508,380,311,489,314,167,344,3009
4,Prince,305,114,464,330,274,432,281,135,293,2628
5,Hdcp,9,15,3,1,13,7,11,17,5,­
