,西,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,3.0,5D,4.0,3N,4.0,4.0,4.0,5.0,36
1,Back T.,399.0,231.0,517,414.0,200,337.0,301.0,389.0,542.0,3330
2,Reg T.,378.0,201.0,497,357.0,175,323.0,282.0,373.0,538.0,3124
3,Front T.,378.0,162.0,479,349.0,164,314.0,274.0,347.0,528.0,2995
4,Hdcp,,,,,,,,,,­
