,七竈,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,5,3N,5,4,3,4,4D,36
1,BLACK,391,392,582,194,531,360,188,400,395,3433
2,BLUE,364,362,562,178,515,350,176,380,366,3253
3,RED,343,263,478,129,423,275,121,328,280,2640
4,WHITE,360,322,536,154,476,335,163,356,324,3026
5,Hdcp,5,8,2,4,7,1,6,9,3,­
