,南　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,4,5,4D,4,4,3N,5,36
1,Back,408,214,419,514,411,380,420,166,539,3471
2,Reg.,381,184,381,474,375,342,376,146,512,3171
3,Front,348,147,342,433,339,306,329,129,481,2854
4,Prince,281,105,314,399,306,276,295,101,396,2473
5,Hdcp,4,16,10,8,2,14,18,12,6,­
