,岩手山,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,5D,4.0,3N,5.0,4.0,4.0,3.0,4.0,36
1,Back T.,373.0,553,368.0,168,542.0,370.0,456.0,200.0,381.0,3411
2,Reg. T.,344.0,515,352.0,146,515.0,349.0,405.0,175.0,368.0,3169
3,Front T.,332.0,505,344.0,130,467.0,337.0,377.0,140.0,357.0,2989
4,Ladies T.,307.0,445,260.0,130,377.0,309.0,327.0,115.0,338.0,2608
5,Hdcp,,,,,,,,,,­
