,北上川,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3.0,4.0,3N,4.0,5D,3.0,5.0,4.0,36
1,Back T.,502.0,133.0,335.0,158,367.0,473,212.0,505.0,345.0,3030
2,Reg. T.,477.0,123.0,318.0,144,352.0,463,190.0,494.0,334.0,2895
3,Front T.,471.0,123.0,312.0,132,334.0,457,165.0,488.0,326.0,2808
4,Ladies T.,429.0,100.0,312.0,122,334.0,440,165.0,460.0,326.0,2688
5,Hdcp,,,,,,,,,,­
