,姫神山,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,4.0,3N,4.0,5.0,3.0,4.0,4D,4.0,36
1,Back T.,522.0,425.0,175,371.0,520.0,187.0,412.0,340,445.0,3397
2,Reg. T.,491.0,392.0,160,353.0,490.0,175.0,376.0,320,425.0,3182
3,Front T.,482.0,381.0,140,311.0,470.0,158.0,348.0,314,389.0,2993
4,Ladies T.,432.0,337.0,140,290.0,429.0,148.0,308.0,256,260.0,2600
5,Hdcp,,,,,,,,,,­
