,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,3,5,4D,4,36
1,Back,567,386,173,411,378,186,544,385,423,3453
2,Reg,542,378,155,389,367,167,533,369,423,3323
3,Front,509,367,133,359,334,139,504,354,389,3088
4,Hdcp,3,7,13,1,9,17,5,11,15,­
