,IN,10,11,12,13,14,15,16,17,18,計
0,Par,5,4,3N,4D,4,4D,5,3N,4,36
1,BLACK,490,370,202,430,454,379,652,198,391,3566
2,BLUE,490,356,187,398,423,359,638,185,374,3410
3,WHITE,480,322,167,352,385,330,607,162,364,3169
4,RED,429,286,120,296,326,292,497,113,305,2664
5,RESORT,460,286,140,352,372,321,546,130,352,2959
6,Hdcp,10,16,4,2,8,14,6,12,18,­
