,東,1,2,3,4,5,6,7,8,9,計
0,Par,5,3,4,4,4,3N,4,5D,4,36
1,Ｂ.Ｔ,523,216,461,347,329,160,410,550,404,3400
2,Ｒ.Ｔ,491,183,427,319,300,133,381,523,376,3133
3,Ｌ..Ｔ,424,161,316,290,271,106,352,401,353,2674
4,Hdcp,5,8,1,4,6,7,2,3,9,­
