,OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3,4D,4,3N,4,5,36
1,Champion,397,542,390,172,392,402,198,412,548,3453
2,Back,368,514,365,147,369,374,175,380,526,3218
3,Regular,347,478,340,124,343,347,150,355,500,2984
4,Ladies,292,384,288,104,294,293,98,255,390,2398
5,Silver,317,454,314,104,320,325,107,323,464,2728
6,Hdcp,11,13,5,17,7,1,15,3,9,­
