,筑波　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3N,5D,4,4D,3N,4,36
1,Back T.,362,507,445,172,503,319,419,157,366,3250
2,Reg.,338,488,416,131,490,307,356,140,360,3026
3,Ladies,212,415,284,131,390,249,303,133,262,2379
4,Hdcp,9,3,15,13,1,7,5,17,11,­
