,中,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4D,4,3,4,5,4,36
1,Champion,497,435,191,405,389,169,397,607,415,3505
2,Blue,497,411,175,366,366,162,364,559,405,3305
3,Regular,471,367,148,366,332,128,364,520,390,3086
4,Front,447,329,123,334,307,98,338,482,353,2811
5,Ladies,362,329,123,334,307,98,293,393,353,2592
6,Hdcp,6,3,7,5,1,9,8,2,4,­
