,本丸,1,2,3,4,5,6,7,8,9,計
0,Par,5,3N,4,4,3,4,4,4,5D,36
1,Black,520,187,415,432,214,397,410,466,554,3595
2,Blue,490,161,381,403,190,373,373,450,535,3356
3,White,470,151,369,384,182,349,343,427,526,3201
4,Gold,450,151,360,373,182,335,336,385,380,2952
5,Red,442,133,348,368,182,329,327,289,380,2798
6,Hdcp,5,8,2,1,7,4,3,9,6,­
