,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3,5,4D,3N,5D,4,36
1,Back,379,358,382,180,551,393,208,559,420,3430
2,Regular,337,341,366,180,535,379,189,532,391,3250
3,Front,311,315,333,166,507,332,162,500,358,2984
4,Ladies,300,287,298,152,422,255,130,386,274,2504
5,Hdcp,8,5,2,9,1,4,6,3,7,­
