,富士,1,2,3,4,5,6,7,8,9,計
0,Par,5D,4,4,3N,5,4,3N,4D,4,36
1,Back T.,506,399,353,173,531,323,204,449,373,3311
2,Reg.,472,363,328,150,482,312,182,436,354,3079
3,Ladies,384,291,249,124,428,281,112,372,307,2548
4,Hdcp,9,3,15,7,1,13,11,5,17,­
