,駒　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3.0,3N,4.0,3.0,4.0,5D,3.0,5.0,35
1,Back,444.0,168.0,140,382.0,122.0,406.0,472,129.0,540.0,2803
2,Front,421.0,98.0,120,352.0,110.0,382.0,456,119.0,490.0,2548
3,Ladies,328.0,85.0,110,301.0,80.0,255.0,376,79.0,299.0,1913
4,Hdcp,,,,,,,,,,­
