,東,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,4,4D,3N,5D,4,36
1,BLUE,386,351,178,491,397,388,174,564,376,3305
2,WHITE,353,340,147,479,384,373,157,536,362,3131
3,GREEN,345,340,128,462,359,338,137,536,349,2994
4,RED,345,275,122,372,305,292,117,422,302,2552
5,Hdcp,5,2,8,7,1,4,9,6,3,­
