,中,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,5,3N,4D,4,5D,4,36
1,Back,353,351,149,488,220,337,447,510,426,3281
2,Regular,321,333,138,475,202,326,396,476,408,3075
3,Front,307,333,138,465,183,317,382,459,408,2992
4,Ladies,250,314,138,409,163,317,331,404,393,2719
5,Hdcp,2,5,8,1,7,4,6,3,9,­
