,東,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,3N,4,4,3,4,4,5D,36
1,Back T.,484,339,162,375,430,172,389,421,503,3275
2,Regular T.,484,339,162,353,410,172,376,401,503,3200
3,Ladies T.,403,300,138,311,252,138,339,299,454,2634
4,Hdcp,5,3,9,7,2,4,8,1,6,­
