,オレンジ,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3N,4,3,4,5,4D,5,36
1,Back T.,374,363,180,359,208,337,521,353,491,3186
2,Reg T.,341,335,152,344,191,304,483,335,467,2952
3,Front T.,297,317,125,327,155,271,432,293,437,2654
4,Hdcp,6,2,5,7,3,4,1,9,8,­
