,出流　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4.0,5.0,4D,4.0,4.0,3N,5D,3N,4.0,36
1,Champ,374.0,490.0,395,479.0,325.0,215,466,155,324.0,3223
2,Front,343.0,453.0,308,406.0,308.0,157,433,134,295.0,2837
3,Ladies,325.0,421.0,274,363.0,289.0,143,405,121,275.0,2616
4,Hdcp,,,,,,,,,,­
