,東,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4D,3N,4,5,4,3,4,36
1,Champion,545,350,465,177,338,568,418,186,397,3444
2,Blue,523,340,410,177,338,498,391,168,371,3216
3,Regular,495,317,410,136,319,498,391,144,371,3081
4,Front,445,293,385,93,290,459,359,122,339,2785
5,Ladies,445,293,283,93,290,401,283,122,339,2549
6,Hdcp,6,7,1,9,8,3,2,5,4,­
