,駒　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4.0,4.0,3.0,4.0,5.0,4.0,3N,5D,5.0,37
1,Back,354.0,350.0,209.0,366.0,554.0,417.0,148,486,450.0,3334
2,Front,328.0,308.0,182.0,314.0,494.0,351.0,117,422,438.0,2954
3,Ladies,310.0,294.0,101.0,293.0,282.0,269.0,94,366,314.0,2323
4,Hdcp,,,,,,,,,,­
