,西,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,3,4,5D,3N,4,4,5,36
1,Back T.,359,453,180,412,504,201,410,416,510,3445
2,Reg.,334,397,153,373,484,151,384,384,488,3148
3,Front,317,313,143,280,428,131,357,320,401,2690
4,Hdcp,8,2,5,1,7,4,6,3,9,­
