,WEST　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,4,3,4D,5,3N,4,4,36
1,Back,408,610,390,200,397,538,197,381,358,3479
2,Reg.,370,574,352,161,361,488,169,356,331,3162
3,Front,329,558,308,141,320,472,143,336,306,2913
4,ladies,329,538,278,141,310,460,143,316,306,2821
5,Hdcp,15,3,9,7,13,1,17,5,11,­
