,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,5,3N,4D,4,4,5,3,4,36
1,Champion,370,510,188,477,380,342,534,208,451,3460
2,Back,351,484,171,452,359,325,515,188,432,3277
3,Regular,329,452,143,432,327,301,510,165,403,3062
4,Ladies,295,416,113,363,267,257,458,124,348,2641
5,Hdcp,10,4,16,2,8,14,6,18,12,­
