,南,1,2,3,4,5,6,7,8,9,計
0,Par,4,4,4,3N,4,5D,4,3N,5D,36
1,Back,396,369,342,124,402,439,359,180,573,3184
2,Regular,396,347,325,110,378,417,339,161,527,3000
3,Front,310,328,312,110,362,395,339,161,510,2827
4,Ladies,310,278,292,110,226,331,317,155,394,2413
5,Hdcp,2,8,5,9,4,1,6,7,3,­
