,南,1,2,3,4,5,6,7,8,9,計
0,Par,5,4,4,3N,4,4,3,5,4D,36
1,Ｂ.Ｔ,537,423,352,174,385,418,219,535,453,3496
2,Ｒ.Ｔ,510,386,305,141,360,390,162,506,420,3180
3,Ｌ..Ｔ,427,300,284,118,335,300,100,425,318,2607
4,Hdcp,9,3,15,13,7,1,17,5,11,­
