,IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3,4,5,4,5D,3,4,4,36
1,Back,367,138,396,501,381,570,163,406,385,3307
2,Blue,346,130,388,494,381,558,157,406,380,3240
3,White,332,121,369,478,361,539,151,374,363,3088
4,Red,306,111,331,436,341,476,145,341,331,2818
5,Hdcp,10,18,4,8,14,2,16,6,12,­
