,中,1,2,3,4,5,6,7,8,9,計
0,Par,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3N,5.0,36
1,FULLBACK,538.0,167.0,409.0,355.0,402.0,340.0,379.0,172,570.0,3332
2,BACK,516.0,151.0,391.0,338.0,402.0,340.0,379.0,164,537.0,3218
3,REG,516.0,151.0,391.0,322.0,387.0,322.0,360.0,154,516.0,3119
4,LADY,456.0,151.0,341.0,282.0,337.0,303.0,310.0,154,470.0,2804
5,Hdcp,,,,,,,,,,­
