,北,1,2,3,4,5,6,7,8,9,計
0,Par,4,5,3,4,5,4D,3N,4,4,36
1,Back T.,420,500,155,340,560,370,140,410,370,3265
2,Reg.,400,480,130,320,550,350,130,355,355,3070
3,Gold,370,480,120,310,510,330,100,340,340,2900
4,Hdcp,4,2,8,7,1,5,9,3,6,­
