,多幸コース　IN,10,11,12,13,14,15,16,17,18,計
0,Par,4,3N,5,4,4D,4,4,3N,5D,36
1,青,290,170,503,270,301,299,341,203,471,2848
2,白,262,155,490,253,282,286,329,147,456,2660
3,ゴールド,249,86,470,224,199,255,211,127,399,2220
4,緑,241,78,342,166,199,245,211,127,399,2008
5,Hdcp,16,14,6,10,8,12,2,18,4,­
