,南　OUT,1,2,3,4,5,6,7,8,9,計
0,Par,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,36
1,Back T.,339.0,558.0,156.0,361.0,410.0,401.0,269.0,329.0,512.0,3335
2,Reg.,326.0,499.0,141.0,344.0,398.0,389.0,221.0,300.0,492.0,3110
3,Ladies,311.0,419.0,110.0,323.0,313.0,344.0,128.0,235.0,477.0,2660
4,Hdcp,,,,,,,,,,­
